Bohemian Rhapsody - Queen
Stairway to Heaven - Led Zeppelin
Hotel California - Eagles
Imagine - John Lennon
Smells Like Teen Spirit - Nirvana
Sweet Child O' Mine - Guns N' Roses
Billie Jean - Michael Jackson
Hey Jude - The Beatles
Like a Rolling Stone - Bob Dylan
Wonderwall - Oasis
Yesterday - The Beatles
Comfortably Numb - Pink Floyd
Lose Yourself - Eminem
Rolling in the Deep - Adele
Shape of You - Ed Sheeran
Blinding Lights - The Weeknd
Back in Black - AC/DC
Someone Like You - Adele
Hallelujah - Leonard Cohen
November Rain
Poesia Acustica 7 - PinnapleTV
Pon de Replay - Rihanna
Shape of You - Ed Sheeran
Bye Bye Bye - NYSC
High School Sweethearts - Melanie Martinez
4 Minutes - Maddona and Justin Timberlake
The Dinner - Billie Eilish
Expresso - Sabrina Carpinteiro
Drama - Aespa
Blue - Billie Eilish
Chihiro - Billie Eilish
