The Shawshank Redemption
The Godfather
The Dark Knight
Pulp Fiction
Forrest Gump
Inception
Fight Club
The Matrix
Goodfellas
The Lord of the Rings: The Fellowship of the Ring
Interstellar
The Empire Strikes Back
Parasite
The Green Mile
Schindler's List
Gladiator
The Lion King
Se7en
Saving Private Ryan
The Silence of the Lambs
Everthing Everywhere All at Once
Luca
X-Men Origins
Wolverine: Immortal
To Kill a Mockingbird
Dead Poets Society
Venom
Good Boys
Rome
Duna
The Power of the Dog
Belfast
Pinoquio by Guillermo del Toro
Coda
Abigail
Wonder
White Noise
White Chicks
Alladin
Inside Out 2
The Avengers
